code,code_name,industry,industryClassification
sh.600000,浦发银行,银行,申万一级行业
sh.600015,华夏银行,银行,申万一级行业
sh.600036,招商银行,银行,申万一级行业
sh.600048,保利地产,房地产,申万一级行业
sh.600056,中国医药,医药生物,申万一级行业
sh.600104,上汽集团,汽车,申万一级行业
sh.600332,白云山,医药生物,申万一级行业
sh.600340,华夏幸福,房地产,申万一级行业
sh.600377,宁沪高速,交通运输,申万一级行业
sh.600383,金地集团,房地产,申万一级行业
sh.600406,国电南瑞,电气设备,申万一级行业
sh.600487,亨通光电,通信,申万一级行业
sh.600511,国药股份,医药生物,申万一级行业
sh.600535,天士力,医药生物,申万一级行业
sh.600548,深高速,交通运输,申万一级行业
sh.600566,济川药业,医药生物,申万一级行业
sh.600585,海螺水泥,建筑材料,申万一级行业
sh.600612,老凤祥,轻工制造,申万一级行业
sh.600660,福耀玻璃,汽车,申万一级行业
sh.600663,陆家嘴,房地产,申万一级行业
sh.600681,百川能源,公用事业,申万一级行业
sh.600738,兰州民百,商业贸易,申万一级行业
sh.600690,青岛海尔,家用电器,申万一级行业
sh.600801,华新水泥,建筑材料,申万一级行业
sh.600887,伊利股份,食品饮料,申万一级行业
sh.600900,长江电力,公用事业,申万一级行业
sh.601155,新城控股,房地产,申万一级行业
sh.600741,华域汽车,汽车,申万一级行业
sh.601166,兴业银行,银行,申万一级行业
sh.601238,广汽集团,汽车,申万一级行业
sh.601668,中国建筑,建筑装饰,申万一级行业
sh.601288,农业银行,银行,申万一级行业
sh.601318,中国平安,非银金融,申万一级行业
sh.601398,工商银行,银行,申万一级行业
sh.601515,东风股份,轻工制造,申万一级行业
sh.601636,旗滨集团,建筑材料,申万一级行业
sh.603156,养元饮品,食品饮料,申万一级行业
sh.601877,正泰电器,电气设备,申万一级行业
sh.601939,建设银行,银行,申万一级行业
sh.603589,口子窖,食品饮料,申万一级行业
sh.603369,今世缘,食品饮料,申万一级行业
sz.000002,万科A,房地产,申万一级行业
sz.000333,美的集团,家用电器,申万一级行业
sz.000338,潍柴动力,汽车,申万一级行业
sz.000423,东阿阿胶,医药生物,申万一级行业
sz.000418,小天鹅A,家用电器,申万一级行业
sz.000538,云南白药,医药生物,申万一级行业
sz.000568,泸州老窖,食品饮料,申万一级行业
sz.000596,古井贡酒,食品饮料,申万一级行业
sz.000651,格力电器,家用电器,申万一级行业
sz.000786,北新建材,建筑材料,申万一级行业
sz.000858,五粮液,食品饮料,申万一级行业
sz.000895,双汇发展,食品饮料,申万一级行业
sz.000963,华东医药,医药生物,申万一级行业
sz.000999,华润三九,医药生物,申万一级行业
sz.001979,招商蛇口,房地产,申万一级行业
sz.002001,新和成,医药生物,申万一级行业 
sz.002008,大族激光,电子,申万一级行业
sz.002142,宁波银行,银行,申万一级行业
sz.002146,荣盛发展,房地产,申万一级行业
sz.002304,洋河股份,食品饮料,申万一级行业
sz.002508,老板电器,家用电器,申万一级行业
sz.000951,中国重汽,汽车,申万一级行业
sz.002236,大华股份,电子,申万一级行业
sz.002271,东方雨虹,建筑材料,申万一级行业
sz.002294,信立泰,医药生物,申万一级行业
sz.002415,海康威视,电子,申万一级行业
sz.002475,立讯精密,电子,申万一级行业
sz.000429,粤高速A,交通运输,申万一级行业
sz.300003,乐普医疗,医药生物,申万一级行业
